file,ref_index,title,doi,triage_bucket,triage_reason,candidate_pmid,candidate_score,candidate_title,candidate_journal,candidate_year
adet-duzensizligi-pcos.md,3,Abnormal uterine bleeding in premenopausal women,10.1016/S0140-6736(22)01047-5,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,41669286,0.31,From Abnormal Uterine Bleeding to Malignancy: The Role of Hormonal Profiling and Histopathology in Early Detection of Endometrial Carcinoma.,Advanced biomedical research,2025
adet-gorememe.md,3,Hypothalamic amenorrhea and its consequences on bone health,10.1155/2014/735871,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,37661145,0.39,Functional Hypothalamic Amenorrhea: Recognition and Management of a Challenging Diagnosis.,Mayo Clinic proceedings,2023
akinti-kasinti-koku.mdx,2,Diagnosis of vaginitis,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,41946309,0.18,Advancing vaginal infection diagnosis: Molecular versus conventional methods for detecting T. vaginalis and C. albicans.,Diagnostic microbiology and infectious disease,2026
akraba-evliligi.md,2,The role of consanguinity in autosomal recessive diseases,10.1007/s12687-012-0102-z,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,41566685,0.27,Molecular characterization of CHST6 in Egyptian families with macular corneal dystrophy reveals recurrent and novel variants.,Ophthalmic genetics,2026
akraba-evliligi.md,3,Global prevalence of consanguineous marriage and its effect on offspring's health,10.1016/j.ejmhg.2013.03.002,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,,0.00,,,
alkol-ve-fertilite.md,1,Drinking alcohol is associated with variation in the risk of late fetal death among women: a prospective cohort study,10.1136/jech-2016-208191,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,,0.00,,,
asherman-sendromu.md,3,Reproductive outcome following hysteroscopic adhesiolysis in Asherman syndrome,10.1007/s00404-009-1262-z,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,34555319,0.31,Postsurgical barrier strategies to avoid the recurrence of intrauterine adhesion formation after hysteroscopic adhesiolysis: a network meta-analysis of randomized controlled trials.,American journal of obstetrics and gynecology,2022
azospermi-mikro-tese.md,1,Testicular sperm extraction with intracytoplasmic sperm injection for nonobstructive azoospermia,10.1016/S0090-4295(99)00301-1,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,,0.00,,,
bagisiklik-tedavileri.mdx,5,Elevated Levels of Serum Vascular Endothelial Growth Factor-A Are Not Related to NK Cell Parameters in Recurrent IVF Failure,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,41694311,0.27,POEMS syndrome with cardiovascular lesions as the initial manifestation: a case report and literature review.,Frontiers in cardiovascular medicine,2026
beta-hcg-testi.md,3,Human chorionic gonadotropin doubling time in early viable pregnancies,10.1097/01.AOG.0000119546.44810.87,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,2408475,0.57,Doubling times of human chorionic gonadotropin increase in early viable intrauterine pregnancies.,American journal of obstetrics and gynecology,1985
embriyo-transferi-sonrasi-bakim.md,2,Physical activity and fertility: a systematic review and meta-analysis,10.1186/s12958-018-0433-7,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,41065428,0.63,The effect of obesity interventions on male fertility: a systematic review and meta-analysis.,Human reproduction update,2026
endometrioma.md,2,Endometrioma and oocyte quality: effect on in vitro fertilization/intracytoplasmic sperm injection cycles,10.1016/j.fertnstert.2010.06.002,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,34656130,0.34,Impact of endometriosis on oocyte morphology in IVF-ICSI: retrospective study of a cohort of more than 6000 mature oocytes.,Reproductive biology and endocrinology : RB&E,2021
endometriozis-tup-bebek.md,3,Surgery versus IVF in endometriosis-associated subfertility (SVIDOE): a pragmatic randomised controlled trial and economic evaluation,10.1016/S0140-6736(25)00541-7,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,,0.00,,,
endoskopik-cerrahi-histeroskopi.md,2,The role of hysteroscopy in improving fertility: a systematic review and meta-analysis,10.1093/humupd/dmv068,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,40728391,0.60,Use of anti-adhesion gel after hysteroscopy for the treatment of female infertility: A systematic review and meta-analysis.,African journal of reproductive health,2025
era-testi-iluzyon.mdx,3,ERA in prior failed IVF cycles — no benefit,,metin_revizyonu_gerekir,kaynak_basligi_formel_izlenebilir_makale_kunyesi_gibi_deg?il,41837962,0.20,Tumor Debulking in Combination With Chemotherapy in Multiorgan Metastatic Colorectal Cancer: The ORCHESTRA Randomized Clinical Trial.,JAMA,2026
era-testi-iluzyon.mdx,4,ERA update: 44 çalışma,,metin_revizyonu_gerekir,kaynak_basligi_formel_izlenebilir_makale_kunyesi_gibi_deg?il,42024162,0.24,[Mental diseases and driving ability-An update].,Der Nervenarzt,2026
era-testi-iluzyon.mdx,5,Systematic review and meta-analysis of ERA,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,42024315,0.30,Emotion regulation in mental disorders: A systematic review and multilevel meta-analysis of transdiagnostic and disorder-specific impairments.,Psychological bulletin,2026
era-testi-iluzyon.mdx,6,Meta-review of 10 IVF add-ons (ERA dahil),,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,7,Endometrial receptivity testing — Kırmızı derece,,metin_revizyonu_gerekir,kaynak_basligi_formel_izlenebilir_makale_kunyesi_gibi_deg?il,,0.00,,,
era-testi-iluzyon.mdx,8,Good Practice Recommendations on Add-ons in Reproductive Medicine,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,39321730,0.44,Good laboratory practice for PGT-M: Turkish Society of Reproductive Medicine guidelines.,Reproductive biomedicine online,2024
era-testi-iluzyon.mdx,9,ERA vs standard timing RCT,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,42021814,0.19,The Iranian Consensus on Self-Monitoring of Blood Glucose: An Expert Consensus.,Medical journal of the Islamic Republic of Iran,2025
era-testi-iluzyon.mdx,10,A genomic diagnostic tool for endometrial receptivity,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,20619403,0.55,A genomic diagnostic tool for human endometrial receptivity based on the transcriptomic signature.,Fertility and sterility,2011
era-testi-iluzyon.mdx,11,The endometrial receptivity array for diagnosis and personalized embryo transfer,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,23756099,0.56,The endometrial receptivity array for diagnosis and personalized embryo transfer as a treatment for patients with repeated implantation failure.,Fertility and sterility,2013
era-testi-iluzyon.mdx,12,ERA klinik fayda gösteremedi; ERA-guided transfer lower LBR,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,13,ERA meta-analysis [RETRACTED — aynı hastalar mükerrer sayıldı],,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,14,Revisiting selected ethical aspects of current clinical IVF practice,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,35190959,0.75,Revisiting selected ethical aspects of current clinical in vitro fertilization (IVF) practice.,Journal of assisted reproduction and genetics,2022
era-testi-iluzyon.mdx,15,What has been happening to our medical journals?,,metin_revizyonu_gerekir,kaynak_basligi_formel_izlenebilir_makale_kunyesi_gibi_deg?il,,0.00,,,
era-testi-iluzyon.mdx,16,Ethics and IVF add-ons: We need to talk about it,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,17,The crafting of hope: contextualising add-ons in IVF,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,34492406,0.57,The crafting of hope: Contextualising add-ons in the treatment trajectories of IVF patients.,Social science & medicine (1982),2021
era-testi-iluzyon.mdx,18,"Medical science: regulatory capture, conflicts of interest",,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,41194760,0.22,"Measuring What Matters in Radiology: A Guide to Selecting, Implementing, and Interpreting Patient-Reported Outcome Measures.",Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes,2026
era-testi-iluzyon.mdx,19,Endometrial Receptivity Analysis (ERA) test: an unproven technology,,hemen_degistirilebilir,pubmed_adayi_var_baslik_metadata_duzeltmesi_yeterli,33880419,1.00,Endometrial Receptivity Analysis (ERA) test: an unproven technology.,Human reproduction open,2021
era-testi-iluzyon.mdx,20,IVF add-ons for the endometrium: it doesn't add-up,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,31843098,0.64,In&#xa0;vitro fertilization add-ons for the endometrium: it doesn't add-up.,Fertility and sterility,2019
era-testi-iluzyon.mdx,21,Evidence-based IVF — hasta bilgilendirme platformu,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,22,Vitrolife AB Goodwill impairment Igenomix Q4 2023 ve Q4 2025 finansal bildirimleri,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,23,Class Action Suit alleges PGT-A Testing misleadingly advertised,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,,0.00,,,
era-testi-iluzyon.mdx,24,Laboratory Developed Tests — Final Rule,,metin_revizyonu_gerekir,pubmede_tasinabilir_ama_mevcut_referans_belirsiz,39880119,0.40,Regulatory requirements for laboratory developed tests in the United States.,Journal of immunological methods,2025
erkek-dogurganlik-besin-takviyeleri.md,3,The effect of coenzyme Q10 supplementation on sperm parameters: a systematic review and meta-analysis,10.1007/s10815-013-9998-z,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,30462179,0.57,The Effect of Nutrients and Dietary Supplements on Sperm Quality Parameters: A Systematic Review and Meta-Analysis of Randomized Clinical Trials.,"Advances in nutrition (Bethesda, Md.)",2018
hidrosalpinx-ve-kisirlik.md,1,The effect of hydrosalpinx on IVF-ET outcome,10.1016/S0015-0282(98)00392-X,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,39340469,0.23,The outcome of embryo transfer after three different procedures for laparoscopic correction of hydrosalpinx.,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2025
hidrosalpinx-ve-kisirlik.md,3,Hydrosalpinx and IVF: salpingectomy or tubal occlusion,10.1093/humrep/15.12.2474,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,38764191,0.32,Hydrosalpinx treatment before in-vitro fertilization: systematic review and network meta-analysis.,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,2025
hiperprolaktinemi-prolaktinom.md,3,Causes of hyperprolactinemia,10.12998/wjcc.v1.i7.209,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,41635342,0.22,A Curious Case of Galactorrhea in the Context of Gastroenteritis: A Case Report.,Cureus,2026
kac-yumurta-gerekir.md,2,A new more detailed stratification of low responders to ovarian stimulation: from a poor ovarian response to a low prognosis concept (POSEIDON),10.1016/j.rbmo.2016.06.013,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,,0.00,,,
kac-yumurta-gerekir.md,3,Optimal oocyte retrieval and embryo utilization rates in assisted reproduction,10.1007/s10815-015-0520-8,pubmed_disi_kalabilir,doi_var_ama_pubmed_kaydi_bulunmadi_muhtemelen_pubmed_disi,,0.00,,,
